,property_webpage,online_id,ref_number,property_type,title_property,city,address,postal_code,construction_year,floor,commercial_or_private_provider_property,property_rooms,property_area,plot_area,property_price,energy_provider,form_of_heating,energy_class,energy_buildingtype,energy_passtype,energy_vadility,energy_consumption,energy_source,offerer_name,property_condition,category_of_house,property_possible_move,german_state,delivery_time
0,https://www.immowelt.de/expose/2etvm5q,2etvm5q,0-2587,apartment,"""INNOVATIVE NEUBAUWOHNUNGEN IM GRÜNEN OBERNEULAND""",Bremen(Oberneuland),Louis-Leitz-Straße 1a,28355,2024,2. Geschoss,Gewerblicher Anbieter,4,"121,90 m²",blank,579.000 €,blank,blank,A,Wohngebäude,Bedarfsausweis,10.03.2022 bis 09.03.2032,"45,40 kWh/(m²·a)",Solar,VB Immobilien GmbH,Neubau,blank,2024,bremen,2024-06-16 14:20:14
1,https://www.immowelt.de/expose/2e6lp5n,2e6lp5n,3072024,apartment,"3-Zimmer-Wohnung Hochparterre, renovierungsbedürftig",Bremen(Ellenerbrok-Schevemoor),Straße nicht freigegeben,28325,1964,Erdgeschoss,Gewerblicher Anbieter,3,64 m²,blank,137.000 €,Fernwärme,blank,F,Wohngebäude,Verbrauchsausweis,11.06.2020 bis 10.06.2030,"162,00 kWh/(m²·a)",Fernwärme,Robert Littmann Immobilien,renovierungsbedürftig / sanierungsbedürftig,blank,sofort,bremen,2024-06-16 14:20:17
2,https://www.immowelt.de/expose/2ezf75n,2ezf75n,30519/1/3/1,apartment,Wohnen in Oberneuland - elegantes Penthouse im klassischen Stil,Bremen(Oberneuland),Straße nicht freigegeben,28355,1996,blank,Gewerblicher Anbieter,5,185 m²,blank,899.000 €,blank,Zentralheizung,D,Wohngebäude,Verbrauchsausweis,26.08.2019 bis 26.08.2029,"100,62 kWh/(m²·a)  - Warmwasser enthalten",Gas,Robert C. Spies Immobilien  GmbH & Co. KG Bremen,gepflegt,Penthouse,Nach Vereinbarung mit den Verkäufern,bremen,2024-06-16 14:20:19
3,https://www.immowelt.de/expose/2ecql5k,2ecql5k,YAGG9F82,apartment,Sehr gepflegte Erdgeschosswohnung mit Loggia und KFZ-Stellplatz in der Vahr,Bremen(Neue Vahr Nord),Straße nicht freigegeben,28329,1960,Erdgeschoss,Gewerblicher Anbieter,3,74 m²,blank,199.000 €,Fernwärme,blank,D,Wohngebäude,Verbrauchsausweis,14.08.2018 bis 14.08.2028,"120,00 kWh/(m²·a)",Fernwärme,Homeday GmbH,gepflegt,blank,nach Vereinbarung,bremen,2024-06-16 14:20:22
4,https://www.immowelt.de/expose/2eak35h,2eak35h,76AP7J0E,apartment,"Sehr gepflegte Erdgeschosswohnung mit Sonnenterrasse, Garten & PKW-Stellplätzen in Horn-Lehe.",Bremen(Lehesterdeich),Straße nicht freigegeben,28357,1999,Erdgeschoss,Gewerblicher Anbieter,4,100 m²,blank,329.000 €,blank,Zentralheizung,B,Wohngebäude,Verbrauchsausweis,19.02.2018 bis 19.02.2028,"69,00 kWh/(m²·a)",Gas,Homeday GmbH,blank,blank,nach Vereinbarung,bremen,2024-06-16 14:20:25
5,https://www.immowelt.de/expose/2ekbe5d,2ekbe5d,17643_EG/2,apartment,*Neubau/Erstbezug* Luxuriöse Terrassen-Wohnung mit 4 Zimmern,Bremen(Radio Bremen),Straße nicht freigegeben,28211,2023,blank,Gewerblicher Anbieter,4,163 m²,blank,969.500 €,Fernwärme,blank,blank,blank,blank,blank,blank,blank,Robert C. Spies Immobilien  GmbH & Co. KG Bremen,Erstbezug,Apartment,kurzfristig; nach Vereinbarung,bremen,2024-06-16 14:20:28
6,https://www.immowelt.de/expose/2e5y25b,2e5y25b,8182024,apartment,Gepflegte 3-Zimmer-Wohnung in Schwachhausen,Bremen(Riensberg),Straße nicht freigegeben,28213,1957,1. Geschoss,Gewerblicher Anbieter,3,66 m²,blank,199.000 €,Öl,blank,blank,Wohngebäude,Verbrauchsausweis,09.10.2017 bis 08.10.2027,"173,00 kWh/(m²·a)",Öl,Robert Littmann Immobilien,gepflegt,blank,ab sofort,bremen,2024-06-16 14:20:30
7,https://www.immowelt.de/expose/2en595a,2en595a,40375-16,apartment,Provisionsfrei! 4-Zimmerwohnung in Horn!,Bremen(Lehe),Heinrich-Gefken-Straße 7,28359,1961,1. Geschoss,Gewerblicher Anbieter,4,"67,57 m²",blank,177.000 €,Fernwärme,blank,C,Wohngebäude,Verbrauchsausweis,seit 11.05.2020,"99,00 kWh/(m²·a)  - Warmwasser enthalten",blank,Vonovia SE,blank,blank,blank,bremen,2024-06-16 14:20:33
8,https://www.immowelt.de/expose/2elce5d,2elce5d,27070/1/2/2,apartment,Elegante Neubauwohnung mit natürlichem Wohngefühl,Bremen(Oberneuland),Straße nicht freigegeben,28355,blank,blank,Gewerblicher Anbieter,3,103 m²,blank,625.000 €,blank,Luft-/Wasser-Wärmepumpe,blank,blank,blank,blank,blank,blank,Robert C. Spies Immobilien  GmbH & Co. KG Bremen,Erstbezug,blank,Sommer 2024,bremen,2024-06-16 14:20:36
9,https://www.immowelt.de/expose/28brg5v,28brg5v,Grünenweg,apartment,Bremen Zentrum - Grünenweg - DG - Eigentumswohnung von 55m² - 2 Zi - Küche - Bad - zur Zeit vermietet - Laminat - Kunststofffenster - Keller,Bremen(Bahnhofsvorstadt),Straße nicht freigegeben,28195,1965,3. Geschoss (Dachgeschoss),Gewerblicher Anbieter,2,55 m²,blank,119.000 €,blank,Zentralheizung,D,Wohngebäude,Verbrauchsausweis,11.07.2017 bis 10.07.2027,"118,00 kWh/(m²·a)",Öl,HWG Bau Immobilien Egon Horsthemke,gepflegt,blank,vermietet,bremen,2024-06-16 14:20:38
10,https://www.immowelt.de/expose/27bgz5a,27bgz5a,0-2577,apartment,"""INNOVATIVE NEUBAUWOHNUNGEN IM GRÜNEN OBERNEULAND""",Bremen(Oberneuland),Louis-Leitz-Straße 1a,28355,2024,1. Geschoss,Gewerblicher Anbieter,2,"76,10 m²",blank,360.000 €,blank,blank,A,Wohngebäude,Bedarfsausweis,10.03.2022 bis 09.03.2032,"45,40 kWh/(m²·a)",Solar,VB Immobilien GmbH,Neubau,blank,2024,bremen,2024-06-16 14:20:41
11,https://www.immowelt.de/expose/24quc5e,24quc5e,"NKQ,I53#44npn",apartment,NEUES KAFFEEQUARTIER -          helle 3 Zimmer-Wohnung mit Balkon - Whg. I53,Bremen(Handelshäfen),Straße nicht freigegeben,28217,2024,2. Geschoss,Gewerblicher Anbieter,3,"81,20 m²",blank,436.800 €,blank,Fußbodenheizung,blank,blank,blank,blank,blank,blank,DETLEF HEGEMANN Immobilien Management GmbH,Erstbezug,blank,blank,bremen,2024-06-16 14:20:44
12,https://www.immowelt.de/expose/2evyv5r,2evyv5r,W1081,apartment,Fest vermietete Hochparterre-Wohnung mit Balkon als solide Anlage,Bremen(Lüssum-Bockhorn),Straße nicht freigegeben,28779,2000,Erdgeschoss,Gewerblicher Anbieter,2,60 m²,blank,158.000 €,blank,Zentralheizung,C,Wohngebäude,Verbrauchsausweis,bis 04.03.2029,"96,00 kWh/(m²·a)",GAS,EXPOSÉ Immobilien,blank,blank,sofort,bremen,2024-06-16 14:20:47
13,https://www.immowelt.de/expose/2edln5q,2edln5q,3092024,apartment,Wunderschöne 3-Zimmer-Wohnung im 2.OG mit Loggia-Balkon,Bremen(Burg-Grambke),Straße nicht freigegeben,28719,1980,2. Geschoss,Gewerblicher Anbieter,3,72 m²,blank,147.000 €,blank,Zentralheizung,blank,Wohngebäude,Verbrauchsausweis,05.03.2018 bis 05.03.2028,"115,00 kWh/(m²·a)  - Warmwasser enthalten",Gas,Robert Littmann Immobilien,gepflegt,blank,nach Absprache,bremen,2024-06-16 14:20:49
14,https://www.immowelt.de/expose/2ewvm5q,2ewvm5q,0-2656,apartment,"""INNOVATIVE NEUBAUWOHNUNGEN IM GRÜNEN OBERNEULAND""",Bremen(Oberneuland),Louis-Leitz-Straße 1a,28355,2024,1. Geschoss,Gewerblicher Anbieter,3,"84,42 m²",blank,399.000 €,blank,blank,A,Wohngebäude,Bedarfsausweis,10.03.2022 bis 09.03.2032,"45,40 kWh/(m²·a)",Solar,VB Immobilien GmbH,Neubau,blank,2024,bremen,2024-06-16 14:20:52
15,https://www.immowelt.de/expose/2euvm5q,2euvm5q,0-2633,apartment,"""INNOVATIVE NEUBAUWOHNUNGEN IM GRÜNEN OBERNEULAND""",Bremen(Oberneuland),Louis-Leitz-Straße 1a,28355,2024,1. Geschoss,Gewerblicher Anbieter,2,"61,53 m²",blank,290.000 €,blank,blank,A,Wohngebäude,Bedarfsausweis,10.03.2022 bis 09.03.2032,"45,40 kWh/(m²·a)",Solar,VB Immobilien GmbH,Neubau,blank,2024,bremen,2024-06-16 14:20:55
16,https://www.immowelt.de/expose/2epr35q,2epr35q,467/3119,apartment,großzügige 4 Zimmer Wohnung mit Weserblick in Bremen Blumenthal,Bremen(Kattenturm),Straße nicht freigegeben,28277,1957,Dachgeschoss,Gewerblicher Anbieter,4,97 m²,blank,145.000 €,Gas,blank,F,Wohngebäude,Verbrauchsausweis,bis 19.12.2028,"187,70 kWh/(m²·a)",blank,Oldenburgische Landesbank AG,blank,blank,blank,bremen,2024-06-16 14:21:01
17,https://www.immowelt.de/expose/2em925q,2em925q,I-00X9S0-W-02RX7U,apartment,Helle Eigentumswohnung mit Garage in begehrter Lage,Bremen(Neu Schwachhausen),Straße nicht freigegeben,28213,1971,blank,Gewerblicher Anbieter,3,85 m²,blank,325.000 €,Öl,blank,G,Wohngebäude,Verbrauchsausweis,seit 05.09.2019,"223,90 kWh/(m²·a)",blank,Engel & Völkers Bremen,blank,blank,blank,bremen,2024-06-16 14:21:03
18,https://www.immowelt.de/expose/2eepy5p,2eepy5p,I-00YBYI-W-02V270,apartment,Wohnen nahe des Bürgerparks,Bremen(Neu Schwachhausen),Straße nicht freigegeben,28213,1983,blank,Gewerblicher Anbieter,3,95 m²,blank,275.000 €,blank,Zentralheizung,C,Wohngebäude,Verbrauchsausweis,seit 18.01.2019,"86,80 kWh/(m²·a)",blank,Engel & Völkers Bremen,renovierungsbedürftig / sanierungsbedürftig,blank,blank,bremen,2024-06-16 14:21:06
19,https://www.immowelt.de/expose/2e6s65p,2e6s65p,29450/1/2/1,apartment,Dachgeschoss-Apartment in unmittelbarer Uni-Nähe mit Balkon,Bremen(Lehe),Straße nicht freigegeben,28359,1996,blank,Gewerblicher Anbieter,1,32 m²,blank,99.000 €,Fernwärme,blank,C,Wohngebäude,Verbrauchsausweis,22.06.2018 bis 22.06.2028,"91,00 kWh/(m²·a)  - Warmwasser enthalten",Fernwärme,Robert C. Spies Immobilien  GmbH & Co. KG Bremen,gepflegt,blank,Nach Vereinbarung mit den Verkäufern,bremen,2024-06-16 14:21:11
20,https://www.immowelt.de/expose/2eqmc5n,2eqmc5n,7772024,apartment,Top Lage: 2 Zusammengelegte Wohnungen in der Neustadt,Bremen(Neustadt),Straße nicht freigegeben,28199,1905,1. Geschoss,Gewerblicher Anbieter,6,115 m²,blank,347.000 €,blank,Etagenheizung,E,Wohngebäude,Verbrauchsausweis,31.05.2024 bis 31.05.2034,"146,00 kWh/(m²·a)",Gas,Robert Littmann Immobilien,renovierungsbedürftig / sanierungsbedürftig,blank,nach Absprache,bremen,2024-06-16 14:21:14
21,https://www.immowelt.de/expose/2e5a65n,2e5a65n,2024-332,apartment,Moderne helle 2-Zimmer-Wohnung mit Loggia und Tiefgaragenstellplatz,Bremen(Lehesterdeich),Hollergrund 48,28357,1995,2. Geschoss,Gewerblicher Anbieter,2,50 m²,blank,159.900 €,Fernwärme,blank,D,Wohngebäude,Verbrauchsausweis,18.12.2018 bis 17.12.2028,"106,00 kWh/(m²·a)  - Warmwasser enthalten","KWK, regenerativ",Lisser GmbH & Co. KG,blank,blank,01.09.2024,bremen,2024-06-16 14:21:16
22,https://www.immowelt.de/expose/2euqd5l,2euqd5l,31284/1/1/1,apartment,Charmante 3-Zimmer-Wohnung mit Sonnenbalkon und Tiefgaragenstellplatz,Bremen(Radio Bremen),Straße nicht freigegeben,28329,1978,blank,Gewerblicher Anbieter,3,107 m²,blank,300.000 €,blank,Zentralheizung,D,Wohngebäude,Verbrauchsausweis,03.11.2017 bis 02.11.2027,"119,00 kWh/(m²·a)",Öl,Robert C. Spies Immobilien  GmbH & Co. KG Bremen,gepflegt,blank,Nach Vereinbarung mit den Verkäufern,bremen,2024-06-16 14:21:19
23,https://www.immowelt.de/expose/2e2hy5k,2e2hy5k,I-00YAUY-W-02VM02,apartment,Modernisierte 4-Zimmer-Wohnung,Bremen(Ellenerbrok-Schevemoor),Straße nicht freigegeben,28325,1971,1. Geschoss,Gewerblicher Anbieter,4,82 m²,blank,219.000 €,blank,Zentralheizung,E,Wohngebäude,Verbrauchsausweis,seit 25.07.2018,"157,41 kWh/(m²·a)",blank,Engel & Völkers Bremen,gepflegt,blank,nach Vereinbarung,bremen,2024-06-16 14:21:22
24,https://www.immowelt.de/expose/2e85p5k,2e85p5k,136636984#5cNUjY,apartment,G 38 SEBALDSBRÜCK -RESERVIERT-  3 Zimmer-Eigentumswohnung mit einem Balkon im 3. OG,Bremen(Sebaldsbrück),Straße nicht freigegeben,28309,1956,blank,Gewerblicher Anbieter,3,56 m²,blank,123.900 €,Gas,blank,C,Wohngebäude,Bedarfsausweis,15.10.2018 bis 15.10.2028,"96,90 kWh/(m²·a)",Gas,L. Kattau Immobilien e.K.,gepflegt,Apartment,nach Absprache,bremen,2024-06-16 14:21:24
25,https://www.immowelt.de/expose/2ewl35h,2ewl35h,136636982#5cNUjY,apartment,G 37 REKUM- geräumige 4 Zimmer-Eigentumswohnung im 1. Obergeschoss,Bremen(Rekum),Straße nicht freigegeben,28777,1993,blank,Gewerblicher Anbieter,4,90 m²,blank,137.900 €,Gas,blank,D,Wohngebäude,Verbrauchsausweis,03.07.2018 bis 03.07.2028,"114,50 kWh/(m²·a)",Gas,L. Kattau Immobilien e.K.,blank,Apartment,01.07.2024,bremen,2024-06-16 14:21:27
26,https://www.immowelt.de/expose/2epy45f,2epy45f,30856/1/3/2,apartment,Wohnung mit traumhaftem Wasserblick in begehrter Innenstadt-Lage an der Contrescarpe,Bremen(Bahnhofsvorstadt),Straße nicht freigegeben,28195,1956,blank,Gewerblicher Anbieter,4,111 m²,blank,378.000 €,blank,blank,E,Wohngebäude,Verbrauchsausweis,11.10.2017 bis 10.10.2027,"143,00 kWh/(m²·a)  - Warmwasser enthalten",Öl,Robert C. Spies,blank,blank,Nach Vereinbarung mit den Verkäufern,bremen,2024-06-16 14:21:30
27,https://www.immowelt.de/expose/2eqj45f,2eqj45f,8192024,apartment,"3-Zimmer-Wohnung (Hochparterre) mit Balkon in Lesum, Bremen-Nord",Bremen(Lesum),Straße nicht freigegeben,28717,1960,1. Geschoss,Gewerblicher Anbieter,3,72 m²,blank,137.000 €,Gas,blank,H,Wohngebäude,Bedarfsausweis,16.05.2024 bis 16.05.2034,"297,80 kWh/(m²·a)",Gas,Robert Littmann Immobilien,gepflegt,blank,Ab sofort,bremen,2024-06-16 14:21:33
28,https://www.immowelt.de/expose/2e2t25f,2e2t25f,31037/1/1/1,apartment,"Sehr gut aufgeteilte 2,5-Zimmer-Wohnung mit Balkon und Garage",Bremen(Kirchhuchting),Straße nicht freigegeben,28259,1972,blank,Gewerblicher Anbieter,"2,5",70 m²,blank,125.000 €,blank,Zentralheizung,E,Wohngebäude,Verbrauchsausweis,13.06.2018 bis 13.06.2028,"136,00 kWh/(m²·a)",Öl,Robert C. Spies,blank,Apartment,Nach Vereinbarung mit den Verkäufern,bremen,2024-06-16 14:21:35
29,https://www.immowelt.de/expose/2ewjm5e,2ewjm5e,0-2767,apartment,Modernes altersgerechtes Wohnen im Beginenhof-Projekt! Gut geschnittene helle 2-Zimmer-Wohnung mit Balkon  in bester Lage der Bremer Neustadt!,Bremen(Buntentor),Beginenhof 5,28201,2001,2. Geschoss,Gewerblicher Anbieter,2,45 m²,blank,155.000 €,blank,Zentralheizung,G,Wohngebäude,Verbrauchsausweis,20.07.2022 bis 20.07.2032,"203,00 kWh/(m²·a)  - Warmwasser enthalten",Erdgas,VB Immobilien GmbH,blank,blank,sofort,bremen,2024-06-16 14:21:38
30,https://www.immowelt.de/expose/2ejty5d,2ejty5d,7672024,apartment,"2-Zimmer Wohnung, zentral Am Wall",Bremen(Altstadt),Straße nicht freigegeben,28195,1957,1. Geschoss,Gewerblicher Anbieter,2,69 m²,blank,225.000 €,blank,blank,blank,Wohngebäude,Verbrauchsausweis,20.02.2018 bis 19.02.2028,"132,00 kWh/(m²·a)",Erdgas schwer,Robert Littmann Immobilien,gepflegt,blank,nach Absprache,bremen,2024-06-16 14:21:41
31,https://www.immowelt.de/expose/2e9re5d,2e9re5d,1116,apartment,Neubau im KfW 40 Standard  Schwachhausen | Wohnen in bester Lage!,Bremen(Schwachhausen),Straße nicht freigegeben,28209,2025,1. Geschoss,Gewerblicher Anbieter,3,"87,93 m²",blank,499.000 €,blank,"Fußbodenheizung, Luft-/Wasser-Wärmepumpe",blank,blank,blank,blank,blank,blank,SUMARIS® Immobilienberatung GmbH,projektiert,blank,blank,bremen,2024-06-16 14:21:44
32,https://www.immowelt.de/expose/2elee5d,2elee5d,27738/1/1/2,apartment,Vermietete Maisonettewohnung mit Tiefgaragenstellplatz in ruhiger Lage Schwachhausens,Bremen(Radio Bremen),Straße nicht freigegeben,28211,1980,blank,Gewerblicher Anbieter,4,112 m²,blank,279.000 €,blank,blank,D,Wohngebäude,Verbrauchsausweis,18.07.2018 bis 18.07.2028,"128,00 kWh/(m²·a)  - Warmwasser enthalten",Öl,Robert C. Spies Immobilien  GmbH & Co. KG Bremen,gepflegt,Maisonette,Nach Vereinbarung mit den Verkäufern,bremen,2024-06-16 14:21:47
33,https://www.immowelt.de/expose/2ehmd5d,2ehmd5d,30423/1/1/2,apartment,4-Zimmer-Wohnung mit Balkon in beliebter Lage Findorffs,Bremen(Regensburger Straße),Straße nicht freigegeben,28215,1982,blank,Gewerblicher Anbieter,4,106 m²,blank,298.000 €,blank,blank,F,Wohngebäude,Verbrauchsausweis,23.05.2018 bis 22.05.2028,"160,30 kWh/(m²·a)  - Warmwasser enthalten",Gas,Robert C. Spies Immobilien  GmbH & Co. KG Bremen,blank,blank,Nach Vereinbarung mit den Verkäufern,bremen,2024-06-16 14:21:49
34,https://www.immowelt.de/expose/2e6rc5d,2e6rc5d,24 057 008,apartment,Äußerst attraktive Altbauwohnung direkt am Bürgerpark,Bremen(Bürgerpark),Straße nicht freigegeben,28209,1904,3. Geschoss,Gewerblicher Anbieter,"4,5","130,85 m²",blank,550.000 €,blank,Zentralheizung,D,Wohngebäude,Verbrauchsausweis,bis 28.10.2028,"122,00 kWh/(m²·a)  - Warmwasser enthalten",OEL,VON POLL IMMOBILIEN Bremen - Christian Stephan Immobilien e. K.,gepflegt,blank,blank,bremen,2024-06-16 14:21:52
35,https://www.immowelt.de/expose/2elmh5c,2elmh5c,2337,apartment,Peterswerder - Blick über die Dächer Bremens,Bremen(Peterswerder),Straße nicht freigegeben,28205,1974,3. Geschoss (Dachgeschoss),Gewerblicher Anbieter,2,57 m²,blank,159.000 €,blank,Zentralheizung,D,Wohngebäude,Verbrauchsausweis,bis 17.04.2029,"129,00 kWh/(m²·a)",blank,Jörg Schmid Immobilien,blank,blank,nach Vereinbarung,bremen,2024-06-16 14:21:55
36,https://www.immowelt.de/expose/2epje5c,2epje5c,0-2659,apartment,Interessantes Anlageobjekt in absolut zentrumsnaher Lage von HB-Vegesack mit sehr guter infrastruktureller Anbindung ! Vermietete 3-Zimmerwohnung über,Bremen(Vegesack),Aumunder Heerweg 90,28757,1986,blank,Gewerblicher Anbieter,3,110 m²,blank,159.000 €,blank,Zentralheizung,C,Wohngebäude,Bedarfsausweis,01.02.2019 bis 31.01.2029,"86,21 kWh/(m²·a)",Erdgas,VB Immobilien GmbH,blank,blank,nach Vereinbarung,bremen,2024-06-16 14:22:01
37,https://www.immowelt.de/expose/2ep9d5d,2ep9d5d,31088/1/1/1,apartment,Parkblick: 3 -bis 4-Zimmer-Eigentumswohnung mit 2 Balkonen in Schwachhausen,Bremen(Bürgerpark),Straße nicht freigegeben,28209,1967,blank,Gewerblicher Anbieter,4,112 m²,blank,318.000 €,blank,Zentralheizung,E,Wohngebäude,Bedarfsausweis,07.06.2018 bis 06.06.2028,"143,00 kWh/(m²·a)",Gas,Robert C. Spies Immobilien  GmbH & Co. KG Bremen,renovierungsbedürftig / sanierungsbedürftig,Terrassenwohnung,Nach Vereinbarung mit den Verkäufern,bremen,2024-06-16 14:22:04
38,https://www.immowelt.de/expose/2e6es58,2e6es58,W1076,apartment,"Zentral gelegene Wohnung im 1. OG, vermietet bis Ende 2024",Bremen(Bahnhofsvorstadt),Straße nicht freigegeben,28195,1956,blank,Gewerblicher Anbieter,"2,5",58 m²,blank,185.000 €,blank,Etagenheizung,D,Wohngebäude,Verbrauchsausweis,bis 24.08.2030,"121,60 kWh/(m²·a)  - Warmwasser enthalten",ERDGAS_LEICHT,EXPOSÉ Immobilien,renovierungsbedürftig / sanierungsbedürftig,blank,nach Absprache,bremen,2024-06-16 14:22:06
39,https://www.immowelt.de/expose/2ea5a56,2ea5a56,8172024,apartment,"Helle und gepflegte 2,5-Zimmer-Wohnung in Schwachhausen",Bremen(Gartenstadt Vahr),Straße nicht freigegeben,28211,1970,3. Geschoss,Gewerblicher Anbieter,"2,5","73,73 m²",blank,199.000 €,Gas,blank,E,Wohngebäude,Verbrauchsausweis,17.03.2014 bis 17.03.2024,"129,00 kWh/(m²·a)",Gas,Robert Littmann Immobilien,renoviert / saniert,blank,ab sofort,bremen,2024-06-16 14:22:09
40,https://www.immowelt.de/expose/2em8v55,2em8v55,399-Walle-ETW,apartment,"Über den Dächern von Walle - 2 Zimmer ETW mit Balkon, EBK, Badewanne, Keller und Gartennutzung",Bremen / Osterfeuerberg,Straße nicht freigegeben,28219,1982,Dachgeschoss,Gewerblicher Anbieter,2,53 m²,blank,124.000 €,blank,Zentralheizung,E,Wohngebäude,Bedarfsausweis,bis 18.03.2028,"164,20 kWh/(m²·a)",OEL,Blücher Immobilien-Kontor,blank,blank,ab 1. Juli 2024,bremen,2024-06-16 14:22:12
41,https://www.immowelt.de/expose/2dcrd5y,2dcrd5y,blank,apartment,Exklusive Eigentumswohnung mit modernem Blick in Citylage!,Bremen(Bahnhofsvorstadt),Breitenweg 64,28195,blank,2. Geschoss,Gewerblicher Anbieter,3,"65,35 m²",blank,175.000 €,Gas,blank,blank,blank,blank,blank,blank,blank,di.wo.pa GmbH,blank,blank,sofort,bremen,2024-06-16 14:22:15
42,https://www.immowelt.de/expose/2d6n35w,2d6n35w,1084#XPDIT,apartment,Schicke 2-Zi.-Wohnung mit Südterrasse im Bremer Flüsseviertel,Bremen(Neustadt),Straße nicht freigegeben,28199,1956,blank,Gewerblicher Anbieter,2,54 m²,blank,175.000 €,blank,Zentralheizung,E,Wohngebäude,Verbrauchsausweis,06.09.2017 bis 06.09.2027,"142,50 kWh/(m²·a)  - Warmwasser enthalten",Erdgas leicht,WIL DECKER IMMOBILIEN,gepflegt,Apartment,Nach Absprache,bremen,2024-06-16 14:22:18
43,https://www.immowelt.de/expose/2d7385v,2d7385v,I-00WJRR-W-02PIVM,apartment,Hübsche Zweizimmerwohnung mit Balkon,Bremen(Hulsberg),Straße nicht freigegeben,28205,1960,blank,Gewerblicher Anbieter,2,64 m²,blank,199.000 €,Fernwärme,blank,E,Wohngebäude,Verbrauchsausweis,seit 30.03.2017,"148,00 kWh/(m²·a)",blank,Engel & Völkers Bremen,blank,blank,blank,bremen,2024-06-16 14:22:20
44,https://www.immowelt.de/expose/2eddn5m,2eddn5m,304,apartment,Attraktive 3-Zimmerwohnung in begehrter Lage!,Bremen(St. Magnus),Straße nicht freigegeben,28717,1975,blank,Gewerblicher Anbieter,3,"98,50 m²",blank,179.000 €,blank,Zentralheizung,E,Wohngebäude,Verbrauchsausweis,bis 30.01.2028,"148,00 kWh/(m²·a)",ERDGAS_LEICHT,Immobilien Lange,blank,blank,blank,bremen,2024-06-16 14:22:28
45,https://www.immowelt.de/expose/2d8j25q,2d8j25q,3042024,apartment,"Reserviert Gemütliche 2,5-Zimmer-Eigentumswohnung in der Neustadt",Bremen(Gartenstadt Süd),Straße nicht freigegeben,28201,1957,1. Geschoss,Gewerblicher Anbieter,"2,5","60,84 m²",blank,192.000 €,Gas,blank,blank,Wohngebäude,Bedarfsausweis,15.04.2018 bis 14.04.2028,"167,00 kWh/(m²·a)",Gas,Robert Littmann Immobilien,gepflegt,blank,ab Juli,bremen,2024-06-16 14:22:33
46,https://www.immowelt.de/expose/2dpz35a,2dpz35a,blank,apartment,Große 5-Zimmer-Wohnung An der Schüttenriehe / Huchting,Bremen(Sodenmatt),Straße nicht freigegeben,28259,1966,2. Geschoss,Gewerblicher Anbieter,5,135 m²,blank,198.000 €,blank,Zentralheizung,D,Wohngebäude,Bedarfsausweis,20.06.2018 bis 19.06.2028,"118,00 kWh/(m²·a)",Heizöl,Susanne Albers Immobilien,blank,blank,nach Vereinbarung,bremen,2024-06-16 14:22:39
47,https://www.immowelt.de/expose/2de9f55,2de9f55,I-00XV10-W-02TX1P,apartment,Großzügige Wohnung in toller Lage,Bremen(Neu Schwachhausen),Straße nicht freigegeben,28213,1962,3. Geschoss,Gewerblicher Anbieter,4,110 m²,blank,299.000 €,blank,blank,E,Wohngebäude,Verbrauchsausweis,seit 26.03.2018,"138,00 kWh/(m²·a)",blank,Engel & Völkers Bremen,gepflegt,blank,Nach Vereinbarung,bremen,2024-06-16 14:22:41
48,https://www.immowelt.de/expose/2casr5r,2casr5r,blank,apartment,"Helle 2-Zimmer Dachgeschosswohnung mit Kamin, 28209 Bremen, Nähe Bürgerpark",Bremen(Bürgerpark),Otto-Gildemeister-Straße 6,28209,1977,3. Geschoss (Dachgeschoss),blank,2,69 m²,blank,249.000 €,blank,Zentralheizung,D,Wohngebäude,Verbrauchsausweis,12.02.2018 bis 12.02.2028,"135,00 kWh/(m²·a)  - Warmwasser enthalten",Gas,Privater Anbieter,blank,Maisonette,sofort möglich,bremen,2024-06-16 14:22:44
49,https://www.immowelt.de/expose/2bxwu5z,2bxwu5z,0-2701,apartment,***VERKAUFT*** Lichtdurchflutetes Ambiente: Renovierte 3-Zimmer Wohnung mit Tageslichtbad und Süd-Balkon,Bremen(Fähr-Lobbendorf),Straße nicht freigegeben,28755,1962,blank,Gewerblicher Anbieter,3,78 m²,blank,124.000 €,Gas,blank,F,Wohngebäude,Verbrauchsausweis,10.10.2023 bis 09.10.2033,"197,70 kWh/(m²·a)",Erdgas,VB Immobilien GmbH,blank,blank,blank,bremen,2024-06-16 14:22:47
50,https://www.immowelt.de/expose/2a8ap5s,2a8ap5s,blank,apartment,"Gemütliche 2,5 Zimmer-Dachgeschosswohnung mit Balkon, Einbauküche und großem Dachboden",Bremen(Horn),Achterdiek 55,28359,1984,2. Geschoss,Gewerblicher Anbieter,"2,5",80 m²,blank,224.000 €,blank,Etagenheizung,E,Wohngebäude,Verbrauchsausweis,blank,"153,10 kWh/(m²·a)  - Warmwasser enthalten",blank,Rundum-Immo Susanne Raffel,Neubau,blank,blank,bremen,2024-06-16 14:22:50
